dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id
Kevin o&#039;leary group clonmel,Tipperary,Opel,Grandland X,2019.0,15150.0, 2 months ago,26900.0,Manual,1.2,Mpv,Petrol,4.0,45.0,1.0,Grey,NaN,April,2023.0,2022-08-30,3084407
Bolands mercedes-benz,Wexford,Mercedes-benz,GLC Class,2018.0,69436.0, 21 hours ago,43895.0,Automatic,2.1,Suv,Diesel,5.0,47.0,1.0,Silver,NaN,March,2022.0,2022-08-30,3084414
Automatic motor car centre,Dublin,Audi,Q3,2014.0,101000.0, 17 days ago,20950.0,Automatic,2.0,Hatchback,Petrol,5.0,44.0,NaN,White,NaN,May,2024.0,2022-08-30,3084417
J.j. burke car sales ltd,Mayo,Kia,Venga,2016.0,92886.0, 4 days ago,10500.0,Manual,1.4,Mpv,Petrol,5.0,42.0,3.0,Silver,NaN,February,2024.0,2022-08-30,3084418
Doyles garage courtown,Wexford,Ford,Kuga,2017.0,91602.0, 1 month ago,22495.0,Manual,1.5,Suv,Diesel,5.0,53.0,1.0,Grey,200.0,October,2024.0,2022-08-30,3084423
Doyles garage courtown,Wexford,Volkswagen,Amarok,2017.0,82794.0, 1 month ago,32480.0,Automatic,2.0,Mpv,Diesel,4.0,NaN,1.0,Silver,NaN,August,2023.0,2022-08-30,3084424
Doyles garage courtown,Wexford,Peugeot,208,2016.0,83212.0, 1 month ago,12950.0,Automatic,1.2,Hatchback,Petrol,5.0,57.0,1.0,Red,NaN,May,2024.0,2022-08-30,3084425
Barlo motor group thurles (ford),Tipperary,Ford,Kuga,2017.0,79998.0, 13 days ago,21995.0,Manual,1.5,Suv,Diesel,5.0,64.0,2.0,Blue,200.0,None,NaN,2022-08-30,3084431
Linders of chapelizod,Dublin,Audi,A6,2019.0,50670.0, 1 month ago,43950.0,Automatic,2.0,Estate,Diesel,5.0,NaN,1.0,Black,NaN,None,NaN,2022-08-30,3084433
Linders of chapelizod,Dublin,Audi,A3,2018.0,91748.0, 1 month ago,31950.0,Manual,1.5,Convertible,Petrol,2.0,NaN,1.0,Grey,NaN,None,NaN,2022-08-30,3084437
Kearys carstore dublin,Dublin,Bmw,5 Series,2018.0,118859.0, 24 days ago,35490.0,Automatic,2.0,Saloon,Diesel,4.0,50.0,3.0,Black,200.0,March,2022.0,2022-08-30,3084450
Kearys carstore dublin,Dublin,Volkswagen,up!,2015.0,51524.0, 6 days ago,11290.0,Automatic,1.0,Hatchback,Petrol,3.0,56.0,1.0,None,NaN,None,NaN,2022-08-30,3084465
Young&#039;s garage (roscrea) ltd.,Tipperary,Opel,Zafira,2022.0,16.0, 3 months ago,59950.0,Automatic,NaN,Mpv,Electric,5.0,NaN,NaN,Grey,NaN,None,NaN,2022-08-30,3084486
Frank hogan ltd,Limerick,Volkswagen,Tiguan,2019.0,43519.0, 1 month ago,38900.0,Automatic,2.0,Suv,Diesel,5.0,46.0,1.0,Grey,280.0,January,2023.0,2022-08-30,3084487
Hinchy&#039;s garryspillane,Limerick,Kia,Sportage,2019.0,83888.0, 16 days ago,28900.0,Manual,1.6,Suv,Diesel,5.0,49.0,1.0,Grey,270.0,January,2023.0,2022-08-30,3084491
Hinchy&#039;s garryspillane,Limerick,Opel,Mokka,2015.0,209783.0, 16 days ago,11900.0,Manual,1.7,Suv,Diesel,4.0,52.0,3.0,Red,NaN,November,2023.0,2022-08-30,3084492
Casey cars,Mayo,Skoda,Octavia,2013.0,209214.0, 23 hours ago,8950.0,Manual,1.6,Hatchback,Diesel,4.0,52.0,2.0,Silver,200.0,July,2023.0,2022-08-30,3084500
Porter ford,Sligo,Ford,Kuga,2019.0,61499.0, 1 month ago,27450.0,Manual,1.5,Suv,Diesel,4.0,45.0,NaN,Silver,200.0,January,2023.0,2022-08-30,3084506
James barry motors,Limerick,Citroen,E-C4,2022.0,0.0, 26 days ago,39950.0,Automatic,NaN,Suv,Electric,NaN,39.0,NaN,Grey,NaN,January,2026.0,2022-08-30,3084508
James barry motors,Limerick,Saab,9-3,2008.0,263999.0, 2 months ago,2950.0,Automatic,2.0,Saloon,Petrol,4.0,27.0,2.0,Black,NaN,January,2023.0,2022-08-30,3084509
Johnson &amp; perrott  honda peugeot seat,Cork,Volkswagen,Golf,2017.0,102997.0, 1 hour ago,28950.0,Manual,2.0,Hatchback,Petrol,5.0,37.0,1.0,White,280.0,March,2023.0,2022-08-30,3084513
Johnson &amp; perrott opel kia,Cork,Hyundai,i20,2018.0,85361.0, 1 month ago,14900.0,Manual,1.2,Hatchback,Petrol,5.0,45.0,2.0,Grey,NaN,January,2024.0,2022-08-30,3084521
Johnson &amp; perrott opel kia,Cork,Land,ROVER Discovery Sport,2019.0,75999.0, 2 months ago,41900.0,Manual,2.0,Suv,Diesel,5.0,41.0,1.0,Grey,NaN,April,2023.0,2022-08-30,3084525
Johnson &amp; perrott opel kia,Cork,Land,ROVER Range Rover Evoque,2016.0,87284.0, 4 months ago,29900.0,Manual,2.0,Suv,Diesel,NaN,49.0,2.0,Silver,NaN,December,2022.0,2022-08-30,3084526
Johnson &amp; perrott opel kia,Cork,Skoda,Octavia,2019.0,0.0, 3 months ago,19900.0,Manual,1.0,Hatchback,Petrol,5.0,63.0,1.0,Blue,190.0,None,NaN,2022-08-30,3084528
Johnson &amp; perrott opel kia,Cork,Ford,Focus,2016.0,122679.0, 2 months ago,14900.0,Manual,1.5,Hatchback,Diesel,4.0,62.0,1.0,Grey,180.0,June,2022.0,2022-08-30,3084536
Johnson &amp; perrott opel kia,Cork,Kia,Venga,2015.0,110896.0, 1 month ago,10900.0,Manual,1.4,Mpv,Diesel,5.0,52.0,3.0,White,NaN,January,2024.0,2022-08-30,3084540
Sandyford motor centre,Dublin,Mazda,CX-5,2017.0,47998.0, 3 months ago,24950.0,Manual,2.2,Suv,Diesel,5.0,51.0,1.0,Silver,NaN,January,2023.0,2022-08-30,3084563
Marsh nissan athlone,Westmeath,Nissan,Qashqai,2019.0,34000.0, 1 day ago,27495.0,Manual,1.2,Mpv,Petrol,4.0,41.0,NaN,Red,270.0,March,2023.0,2022-08-30,3084567
Windsor motormall,Dublin,Mercedes-benz,A Class,2019.0,42848.0, 1 month ago,30995.0,Manual,1.3,Hatchback,Petrol,5.0,43.0,2.0,Red,120.0,May,2023.0,2022-08-30,3084572
Windsor motormall,Dublin,Renault,Kadjar,2018.0,97600.0, 1 month ago,20995.0,Manual,1.5,Suv,Diesel,4.0,62.0,2.0,Grey,180.0,March,2022.0,2022-08-30,3084578
Windsor motormall,Dublin,Nissan,Qashqai,2017.0,96763.0, 1 month ago,21995.0,Manual,1.5,Suv,Diesel,4.0,59.0,1.0,Grey,180.0,July,2023.0,2022-08-30,3084579
Vector motors,Dublin,Mercedes-benz,A Class,2015.0,58694.0, 17 days ago,19950.0,Automatic,1.6,Hatchback,Petrol,5.0,44.0,1.0,White,280.0,February,2024.0,2022-08-30,3084588
Vector motors,Dublin,Alfa,ROMEO Stelvio,2018.0,67141.0, 23 days ago,39950.0,Automatic,2.1,Estate,Diesel,NaN,49.0,2.0,Black,NaN,September,2022.0,2022-08-30,3084589
Automatic motor car centre,Dublin,Audi,A3,2014.0,43000.0, 17 days ago,16950.0,Automatic,1.4,Hatchback,Petrol,5.0,52.0,NaN,Black,NaN,May,2024.0,2022-08-30,3084592
Michael moore car sales portarlington,Laois,Mercedes-benz,E Class,2021.0,13323.0, 1 month ago,69950.0,Automatic,2.0,Saloon,Diesel hybrid,4.0,43.0,1.0,Grey,NaN,May,2025.0,2022-08-30,3084596
Blackwater motors cork,Cork,Volkswagen,Tiguan,2019.0,43812.0, 1 month ago,33995.0,Manual,2.0,Suv,Diesel,NaN,49.0,2.0,White,270.0,February,2023.0,2022-08-30,3084600
Blackwater motors cork,Cork,Volkswagen,Tiguan,2019.0,80122.0, 4 days ago,31995.0,Manual,2.0,Suv,Diesel,NaN,49.0,1.0,White,270.0,January,2023.0,2022-08-30,3084602
Blackwater motors cork,Cork,Volkswagen,Polo,2019.0,87818.0, 1 month ago,15995.0,Manual,1.0,Hatchback,Petrol,NaN,49.0,1.0,Red,190.0,March,2023.0,2022-08-30,3084604
Blackwater motors fermoy,Cork,Volkswagen,Passat,2020.0,69383.0, 4 days ago,39950.0,Manual,1.6,Saloon,Diesel,4.0,59.0,1.0,Blue,190.0,January,2024.0,2022-08-30,3084606
Blackwater motors fermoy,Cork,Volkswagen,Passat,2015.0,167680.0, 4 days ago,19950.0,Manual,2.0,Estate,Diesel,NaN,51.0,1.0,Silver,200.0,August,2022.0,2022-08-30,3084607
Blackwater motors fermoy,Cork,Seat,Leon,2018.0,71176.0, 4 days ago,19950.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,2.0,Blue,NaN,February,2024.0,2022-08-30,3084608
Blackwater motors fermoy,Cork,Seat,Leon,2017.0,121812.0, 4 days ago,19950.0,Automatic,1.6,Estate,Diesel,5.0,62.0,1.0,Grey,NaN,February,2023.0,2022-08-30,3084610
Blackwater motors fermoy,Cork,Volkswagen,Golf,2018.0,36573.0, 4 days ago,23950.0,Manual,1.0,Hatchback,Petrol,5.0,48.0,2.0,Red,190.0,January,2022.0,2022-08-30,3084612
Blackwater motors fermoy,Cork,Volkswagen,Tiguan,2020.0,46857.0, 4 days ago,43950.0,Automatic,2.0,Suv,Diesel,5.0,49.0,1.0,Grey,270.0,January,2024.0,2022-08-30,3084613
Blackwater motors fermoy,Cork,Volkswagen,Polo,2016.0,88143.0, 4 days ago,13450.0,Manual,1.0,Hatchback,Petrol,5.0,50.0,2.0,Grey,190.0,February,2022.0,2022-08-30,3084614
Blackwater motors fermoy,Cork,Volkswagen,Golf SV,2017.0,50747.0, 4 days ago,20950.0,Manual,1.6,Mpv,Diesel,5.0,57.0,1.0,Grey,NaN,July,2023.0,2022-08-30,3084615
Blackwater motors fermoy,Cork,Volkswagen,Golf,2018.0,103092.0, 4 days ago,18950.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,2.0,Blue,180.0,April,2022.0,2022-08-30,3084616
Blackwater motors skibberreen,Cork,Volkswagen,Tiguan,2018.0,90020.0, 11 days ago,32495.0,Manual,2.0,Suv,Diesel,NaN,47.0,3.0,White,270.0,March,2022.0,2022-08-30,3084617
Spirit lillis o&#039;donnell,Dublin,Ford,Puma,2022.0,54.0, 3 months ago,25200.0,Manual,1.0,Van,Petrol hybrid,5.0,NaN,NaN,White,NaN,None,NaN,2022-08-30,3084624
Coby motor company,Dublin,Audi,A3,2013.0,150000.0, 15 hours ago,14950.0,Automatic,1.4,Hatchback,Petrol,5.0,55.0,NaN,White,200.0,April,2024.0,2022-08-30,3084625
Munster trade sales,Limerick,Audi,A3,2019.0,135234.0, 3 months ago,24950.0,Automatic,1.6,Hatchback,Diesel,5.0,69.0,1.0,Black,200.0,April,2024.0,2022-08-30,3084649
Lucey motors,Cork,Mazda,Mazda2,2018.0,69198.0, 2 months ago,15425.0,Manual,1.5,Hatchback,Petrol,4.0,50.0,1.0,Black,NaN,February,2022.0,2022-08-30,3084657
Lucey motors,Cork,Volkswagen,up!,2016.0,130998.0, 5 days ago,10425.0,Manual,1.0,Hatchback,Petrol,5.0,56.0,2.0,Silver,NaN,May,2022.0,2022-08-30,3084658
Newgate motor group,Meath,Dacia,Duster,2022.0,0.0, 3 months ago,27195.0,Manual,1.0,Suv,Petrol,4.0,48.0,NaN,Grey,280.0,January,2026.0,2022-08-30,3084659
Wexford volkswagen,Wexford,Volkswagen,Tiguan Allspace,2019.0,40964.0, 14 days ago,40975.0,Manual,2.0,Suv,Diesel,5.0,48.0,1.0,Grey,NaN,March,2023.0,2022-08-30,3084672
Wexford volkswagen,Wexford,Volvo,XC90,2017.0,106760.0, 14 days ago,53975.0,Automatic,2.0,Estate,Diesel,4.0,36.0,1.0,Blue,NaN,March,2023.0,2022-08-30,3084673
Wexford volkswagen,Wexford,Ford,Kuga,2017.0,153064.0, 14 days ago,18975.0,Manual,1.5,Suv,Diesel,4.0,53.0,1.0,Grey,200.0,January,2023.0,2022-08-30,3084674
Font motor company,Mayo,Mercedes-benz,M Class,2014.0,244798.0, 1 month ago,27995.0,Automatic,2.1,Suv,Diesel,5.0,39.0,2.0,Silver,NaN,September,2024.0,2022-08-30,3084677
Slattery&#039;s garage,Tipperary,Peugeot,Partner,2022.0,1.0, 1 month ago,NaN,Manual,1.5,Van,Diesel,4.0,44.0,1.0,White,NaN,January,2026.0,2022-08-30,3084693
Hogan motors ennis,Clare,Dacia,Duster,2022.0,9.0, 4 days ago,26950.0,Manual,1.0,Suv,Petrol,5.0,37.0,1.0,Orange,210.0,March,2026.0,2022-08-30,3084697
